category,latitude,longitude
4,-88.59375,-18.6328125
4,-88.59375,-17.578125
4,-88.59375,-16.5234375
3,-88.59375,-15.46875
3,-88.59375,-14.4140625
3,-88.59375,-13.359375
3,-88.59375,-12.3046875
3,-88.59375,-11.25
3,-88.59375,-10.1953125
3,-88.59375,-9.140625
3,-88.59375,-8.0859375
3,-88.59375,-7.03125
3,-88.59375,-5.9765625
3,-88.59375,-4.921875
3,-88.59375,-3.8671875
3,-88.59375,-2.8125
3,-88.59375,-1.7578125
3,-88.59375,-0.703125
3,-88.59375,0.3515625
3,-88.2421875,-104.0625
3,-88.2421875,-103.0078125
3,-88.2421875,-101.953125
3,-88.2421875,-100.8984375
3,-88.2421875,-99.84375
3,-88.2421875,-98.7890625
3,-88.2421875,-97.734375
3,-88.2421875,-96.6796875
3,-88.2421875,-95.625
3,-88.2421875,-94.5703125
3,-88.2421875,-93.515625
3,-88.2421875,-92.4609375
3,-88.2421875,-91.40625
3,-88.2421875,-90.3515625
3,-88.2421875,-89.296875
3,-88.2421875,-88.2421875
3,-88.2421875,-87.1875
3,-88.2421875,-86.1328125
3,-88.2421875,-85.078125
3,-88.2421875,-84.0234375
3,-88.2421875,-82.96875
3,-88.2421875,-81.9140625
4,-88.2421875,-80.859375
4,-88.2421875,-79.8046875
4,-88.2421875,-78.75
4,-88.2421875,-77.6953125
4,-88.2421875,-76.640625
4,-88.2421875,-75.5859375
4,-88.2421875,-74.53125
4,-88.2421875,-73.4765625
4,-88.2421875,-72.421875
4,-88.2421875,-71.3671875
4,-88.2421875,-70.3125
4,-88.2421875,-69.2578125
4,-88.2421875,-68.203125
4,-88.2421875,-67.1484375
4,-88.2421875,-66.09375
4,-88.2421875,-65.0390625
4,-88.2421875,-63.984375
4,-88.2421875,-62.9296875
4,-88.2421875,-61.875
4,-88.2421875,-60.8203125
4,-88.2421875,-59.765625
4,-88.2421875,-58.7109375
4,-88.2421875,-57.65625
4,-88.2421875,-56.6015625
5,-88.2421875,-55.546875
5,-88.2421875,-54.4921875
5,-88.2421875,-53.4375
5,-88.2421875,-52.3828125
5,-88.2421875,-51.328125
5,-88.2421875,-50.2734375
5,-88.2421875,-49.21875
